 ,PD_9,PD_8,PD_7,PD_6,PD_5,PD_4,PD_3,PD_2,PD_18,PD_17,PD_16,PD_15,PD_14,PD_13,PD_12,PD_11,PD_10,PD_1,PD_0,PD,PB_9,PB_8,PB_7,PB_6,PB_5,PB_4,PB_3,PB_2,PB_18,PB_17,PB_16,PB_15,PB_14,PB_13,PB_12,PB_11,PB_10,PB_1,PB_0,PB,PA_9,PA_8,PA_7,PA_6,PA_5,PA_4,PA_3,PA_2,PA_18,PA_17,PA_16,PA_15,PA_14,PA_13,PA_12,PA_11,PA_10,PA_1,PA_0,PA,M1HL_9,M1HL_8,M1HL_7,M1HL_6,M1HL_5,M1HL_4,M1HL_3,M1HL_2,M1HL_18,M1HL_17,M1HL_16,M1HL_15,M1HL_14,M1HL_13,M1HL_12,M1HL_11,M1HL_10,M1HL_1,M1HL_0,M1HL,M1E_9,M1E_8,M1E_7,M1E_6,M1E_5,M1E_4,M1E_3,M1E_2,M1E_18,M1E_17,M1E_16,M1E_15,M1E_14,M1E_13,M1E_12,M1E_11,M1E_10,M1E_1,M1E_0,M1E,M1DU_9,M1DU_8,M1DU_7,M1DU_6,M1DU_5,M1DU_4,M1DU_3,M1DU_2,M1DU_18,M1DU_17,M1DU_16,M1DU_15,M1DU_14,M1DU_13,M1DU_12,M1DU_11,M1DU_10,M1DU_1,M1DU_0,M1DU,M10H_9,M10H_8,M10H_7,M10H_6,M10H_5,M10H_4,M10H_3,M10H_2,M10H_18,M10H_17,M10H_16,M10H_15,M10H_14,M10H_13,M10H_12,M10H_11,M10H_10,M10H_1,M10H_0,M10H,M10D_9,M10D_8,M10D_7,M10D_6,M10D_5,M10D_4,M10D_3,M10D_2,M10D_18,M10D_17,M10D_16,M10D_15,M10D_14,M10D_13,M10D_12,M10D_11,M10D_10,M10D_1,M10D_0,M10D,M10A_9,M10A_8,M10A_7,M10A_6,M10A_5,M10A_4,M10A_3,M10A_2,M10A_18,M10A_17,M10A_16,M10A_15,M10A_14,M10A_13,M10A_12,M10A_11,M10A_10,M10A_1,M10A_0,M10A,M100E_9,M100E_8,M100E_7,M100E_6,M100E_5,M100E_4,M100E_3,M100E_2,M100E_18,M100E_17,M100E_16,M100E_15,M100E_14,M100E_13,M100E_12,M100E_11,M100E_10,M100E_1,M100E_0,M100E,M100D_9,M100D_8,M100D_7,M100D_6,M100D_5,M100D_4,M100D_3,M100D_2,M100D_18,M100D_17,M100D_16,M100D_15,M100D_14,M100D_13,M100D_12,M100D_11,M100D_10,M100D_1,M100D_0,M100D,M100A_9,M100A_8,M100A_7,M100A_6,M100A_5,M100A_4,M100A_3,M100A_2,M100A_18,M100A_17,M100A_16,M100A_15,M100A_14,M100A_13,M100A_12,M100A_11,M100A_10,M100A_1,M100A_0,M100A
PB_6,13,15,13,14,13,13,12,10,11,12,13,15,13,12,9,14,11,13,10,12,12,8,15,0,10,13,12,7,10,12,10,14,14,12,15,14,13,14,9,12,11,14,12,13,13,13,14,12,10,11,14,13,11,13,12,14,15,12,12,13,13,7,9,12,10,10,14,13,13,6,12,11,13,15,13,13,13,12,13,6,13,12,13,15,11,12,11,15,12,13,13,13,13,12,10,13,14,11,12,11,14,10,12,11,13,13,13,13,12,13,14,12,13,10,15,7,10,12,13,14,14,12,8,11,13,13,10,8,12,13,12,14,12,12,13,13,12,14,12,9,13,13,13,14,10,12,12,7,13,14,16,13,13,13,12,13,13,11,13,7,9,13,13,13,13,13,10,10,14,14,11,14,14,11,13,12,10,12,13,13,13,13,13,13,15,13,4,13,15,12,15,12,13,13,13,12,11,14,11,13,13,13,13,13,12,11,12,7,10,14,13,13,10,12,9,13,9,13,13,12,11,13,7,13,13,14,12,7,13,12,13,14,10,13,14,16,11,13,13,13
PB_5,9,14,10,12,7,8,10,11,10,9,12,14,10,12,9,10,8,10,9,10,11,8,14,10,0,10,8,10,9,11,5,10,13,7,14,14,10,13,10,9,10,12,10,11,12,11,12,12,11,5,11,11,9,10,11,11,14,11,12,11,7,8,5,10,1,5,13,10,9,8,9,8,8,11,10,8,13,11,9,7,11,7,10,14,10,8,9,14,11,8,8,9,8,9,3,8,16,7,9,6,10,11,8,9,10,9,8,8,7,8,11,12,8,9,13,10,3,8,8,11,12,9,10,8,6,11,8,11,8,10,8,12,10,11,12,9,9,12,9,9,11,8,9,11,7,6,10,9,10,12,15,11,7,9,8,10,9,8,10,10,5,10,10,7,8,8,11,10,11,13,5,12,11,8,7,9,4,11,11,8,11,11,11,12,14,10,10,10,14,11,14,11,11,11,11,9,8,12,11,11,9,8,10,9,12,10,8,10,9,13,9,8,9,8,10,10,9,11,10,10,12,10,10,8,9,12,8,9,9,5,10,11,7,9,12,15,8,7,8,11
PB_4,10,13,10,13,13,11,13,13,13,12,11,13,11,12,13,11,13,10,12,11,10,11,13,13,10,0,7,14,10,11,12,13,11,12,13,13,13,11,11,11,10,11,7,2,11,9,13,9,11,10,12,11,10,12,10,9,13,10,10,12,13,12,11,9,10,10,12,11,9,12,9,12,11,13,11,13,11,10,9,12,12,13,13,13,12,12,11,11,8,13,13,11,11,13,10,11,16,12,11,12,11,12,12,9,10,14,11,13,11,13,12,10,13,13,12,13,10,11,11,12,13,12,13,10,10,12,11,13,13,10,9,10,11,8,10,9,13,12,11,11,10,11,9,12,10,11,11,11,10,13,12,9,13,14,10,9,14,13,10,13,10,11,4,13,11,13,11,12,13,12,12,12,12,12,13,13,11,11,11,11,13,10,12,9,13,12,13,10,13,11,13,10,10,7,13,11,12,13,12,11,10,11,10,14,12,12,11,13,13,11,13,12,11,13,11,13,12,10,13,13,15,10,13,11,9,12,11,11,14,11,13,12,10,14,12,12,13,13,12,9
PB_3,9,14,9,12,13,10,13,13,10,12,9,14,10,12,12,10,12,9,10,12,11,10,14,12,8,7,0,13,11,11,10,10,12,11,14,13,11,12,12,11,13,9,10,9,10,8,10,9,13,9,10,8,8,10,9,11,14,9,10,11,13,11,8,6,8,9,13,10,7,10,8,12,10,13,10,13,11,9,7,10,10,12,11,11,9,12,10,11,8,13,13,12,10,9,8,10,16,11,10,11,9,13,12,7,9,12,10,13,9,13,11,10,13,13,10,13,8,8,10,11,11,8,13,7,10,10,10,13,12,9,6,12,10,8,9,7,13,11,8,10,9,10,7,11,7,12,12,11,7,11,13,11,13,12,7,7,13,12,9,13,9,10,9,13,10,13,13,11,11,13,11,10,11,12,13,13,8,9,10,10,11,8,9,8,14,10,12,9,14,9,14,9,8,10,11,8,12,11,13,10,4,10,9,12,11,11,11,13,12,12,11,13,10,11,11,11,11,9,12,10,15,9,13,10,7,11,11,11,12,12,11,11,7,12,11,13,12,13,12,8
PB_2,13,15,13,11,9,12,13,8,9,13,10,15,13,10,9,15,11,12,11,9,13,8,15,7,10,14,13,0,8,12,10,13,14,11,15,14,10,13,10,11,11,13,12,14,13,13,13,13,10,12,12,12,13,11,14,11,15,11,13,14,10,7,10,12,10,12,13,13,14,5,11,11,12,12,13,10,14,13,14,4,14,11,9,13,13,13,13,13,13,10,10,12,12,12,11,12,14,11,11,11,13,10,10,11,12,9,12,10,12,11,14,13,11,7,14,3,11,12,12,12,12,12,5,12,12,11,9,11,13,12,12,12,10,13,13,14,12,13,11,11,13,12,14,14,13,11,9,6,14,11,14,11,10,9,12,14,13,10,12,4,12,13,14,10,12,11,9,11,10,14,11,13,14,12,9,13,11,10,12,12,10,11,12,10,15,11,6,12,15,10,15,13,13,13,11,13,11,12,9,12,13,12,12,9,13,7,13,4,12,14,11,13,8,10,11,10,8,13,13,10,9,12,4,12,14,12,13,6,9,11,10,14,13,9,13,14,10,9,11,14
PB_18,10,12,10,10,9,9,9,9,8,11,11,12,12,7,8,11,9,10,10,7,11,7,12,10,9,10,11,8,0,8,8,11,11,10,12,11,8,11,9,9,7,11,8,10,11,12,10,9,8,11,9,11,10,8,11,8,12,10,9,12,9,7,8,10,9,9,11,12,11,6,10,8,9,11,12,9,11,12,11,7,12,10,8,12,9,10,11,8,10,9,9,11,9,10,9,9,14,8,9,8,11,9,8,10,11,9,9,9,10,9,13,9,10,6,11,9,9,11,9,9,10,10,9,11,10,9,7,9,11,11,11,7,9,10,11,11,9,9,9,9,12,9,11,12,11,7,7,6,13,10,11,7,9,9,11,12,11,7,11,9,9,10,11,9,9,9,9,10,10,11,9,9,13,10,9,10,9,10,8,9,9,9,10,10,12,8,9,11,12,10,12,11,11,9,9,12,10,10,7,8,10,9,11,9,11,6,9,9,9,11,10,9,5,11,9,8,7,12,8,10,8,11,9,9,11,10,9,6,9,8,8,12,11,9,9,11,7,9,9,11
PB_17,12,11,10,11,12,11,10,11,12,13,11,11,11,12,10,13,12,10,10,10,10,11,11,12,11,11,11,12,8,0,11,11,10,11,11,9,11,10,10,10,10,9,8,11,6,12,10,3,10,12,7,11,10,11,10,8,11,10,3,10,12,11,12,10,11,12,10,11,11,11,10,11,11,12,11,12,5,12,11,11,9,11,11,12,10,11,12,11,10,12,12,13,11,11,11,11,15,11,9,10,9,10,11,11,11,12,11,12,11,12,12,3,13,11,9,12,11,8,11,9,13,9,10,11,12,12,9,12,11,11,11,8,10,10,10,12,12,9,9,12,12,11,11,11,11,11,10,11,11,10,11,7,12,12,10,10,11,11,11,12,11,10,12,12,11,12,10,11,11,10,11,10,12,12,12,12,10,10,11,11,12,12,10,10,11,11,13,11,11,10,11,6,9,9,12,10,12,13,8,11,10,11,11,12,10,10,11,12,12,10,12,11,9,11,11,11,10,12,10,9,13,11,12,11,11,11,11,11,12,11,11,11,11,12,10,11,11,12,12,11
PB_16,10,14,10,12,8,9,10,10,10,9,11,14,11,11,9,11,9,10,10,11,11,10,14,10,5,12,10,10,8,11,0,12,13,8,14,14,9,13,11,10,10,12,10,12,12,11,13,12,11,8,11,11,10,9,11,11,14,10,12,12,7,8,5,10,5,6,13,11,11,7,9,9,9,10,11,8,13,11,11,7,11,8,9,13,11,9,10,13,11,8,7,9,9,10,5,9,15,7,10,7,11,10,7,10,10,9,9,8,8,7,12,12,9,8,13,10,5,9,9,12,11,10,9,10,7,10,7,11,9,10,10,11,10,11,12,11,8,13,9,10,11,9,11,12,8,4,11,8,11,13,14,10,8,9,10,11,9,7,10,10,7,10,12,8,9,8,11,11,12,12,6,12,11,9,8,8,5,10,10,9,10,10,11,11,14,9,9,10,14,10,14,11,11,11,10,10,9,11,11,10,10,9,10,9,12,9,9,10,10,12,10,9,8,9,10,9,7,11,10,11,11,10,10,9,11,13,9,8,9,7,9,12,8,9,13,14,7,8,8,11
PB_15,11,15,11,13,11,11,9,12,11,13,13,15,11,12,12,12,9,12,7,9,13,10,15,14,10,13,10,13,11,11,12,0,14,9,15,15,11,14,9,9,12,13,11,14,12,12,10,12,12,12,12,13,11,11,12,11,15,12,12,12,11,10,12,11,10,12,13,11,10,12,10,8,11,13,12,10,12,13,10,12,13,9,11,14,6,10,10,14,13,10,11,12,11,5,11,11,18,11,12,8,12,11,12,12,12,9,11,11,11,11,11,12,12,11,14,13,11,10,11,4,13,10,13,12,12,12,12,13,9,11,12,11,12,13,12,9,10,13,10,12,12,11,10,12,12,12,10,12,12,11,15,12,11,9,12,13,10,12,12,13,12,11,13,11,11,11,12,8,12,14,12,10,12,10,11,12,11,12,12,11,12,12,10,12,15,11,13,11,15,12,15,12,13,12,11,10,10,13,12,12,10,11,12,9,11,10,10,13,10,14,7,10,10,7,13,11,10,12,9,7,14,12,13,11,10,12,10,12,9,12,10,12,12,9,12,15,12,11,12,12
PB_14,11,3,11,11,13,12,13,11,13,13,12,3,11,13,12,14,14,9,13,12,11,13,3,14,13,11,12,14,11,10,13,14,0,11,3,10,13,2,11,11,11,10,10,12,10,9,9,9,12,12,10,9,10,11,11,11,3,9,8,13,13,12,12,12,13,10,4,10,12,13,9,13,12,14,12,13,10,10,12,13,11,12,13,14,13,11,12,10,11,13,14,12,12,14,12,12,15,12,12,13,12,11,13,10,9,14,12,13,13,13,13,8,13,13,11,13,12,13,12,13,12,11,13,12,13,11,11,13,12,9,12,11,12,11,9,9,12,11,13,10,9,12,12,13,12,12,12,13,13,8,13,10,13,14,11,11,12,11,9,13,12,12,12,13,12,13,11,13,11,3,12,11,13,12,13,12,11,10,10,12,13,12,11,11,3,12,14,9,3,9,3,9,8,10,13,13,12,12,12,11,11,12,9,14,11,12,13,14,14,4,14,13,11,14,10,13,12,9,13,13,15,9,13,12,12,10,13,13,14,13,13,13,12,14,9,13,11,14,12,13
PB_13,11,13,11,14,6,11,8,11,13,9,13,13,13,12,9,12,6,12,10,11,12,9,13,12,7,12,11,11,10,11,8,9,11,0,13,13,10,12,8,8,9,13,13,14,11,13,14,11,11,9,13,12,11,10,12,13,13,11,11,14,7,9,8,13,7,8,13,13,11,9,11,6,11,12,13,6,12,13,11,9,13,1,10,15,11,6,7,15,13,6,7,6,11,10,7,11,15,8,12,5,12,10,8,12,12,7,11,6,8,7,14,11,8,9,14,11,7,12,11,9,11,13,11,12,9,10,9,11,4,12,12,13,12,13,11,10,7,14,13,10,13,11,11,14,10,8,11,9,13,14,15,12,7,7,12,12,5,8,12,12,8,12,13,7,11,7,11,11,14,12,7,14,14,6,6,8,6,11,11,11,11,10,14,11,13,10,11,12,13,11,13,11,13,14,11,13,6,11,11,11,11,11,12,7,12,10,6,12,7,12,6,7,11,10,9,10,11,13,8,12,12,12,12,11,11,14,6,9,7,8,10,14,10,7,14,15,8,7,7,13
PB_12,13,0,13,12,14,13,14,12,13,15,13,0,12,13,13,16,14,11,14,13,12,14,0,15,14,13,14,15,12,11,14,15,3,13,0,8,14,4,12,12,12,12,11,13,12,11,10,11,13,14,12,11,12,13,13,12,0,11,10,13,14,13,14,13,14,12,5,11,14,14,11,14,13,14,13,14,11,11,14,14,12,13,13,14,14,12,14,8,12,14,15,14,13,15,14,13,16,13,13,14,13,12,14,12,11,15,13,14,14,14,13,10,14,14,12,14,14,14,13,14,13,12,14,14,14,13,12,14,12,11,14,12,13,12,11,11,13,12,14,12,11,13,14,13,14,13,13,14,14,10,12,11,14,15,13,13,13,12,11,14,14,13,14,14,13,14,12,14,12,3,13,12,13,13,14,12,13,12,12,13,14,14,12,13,0,14,14,11,0,11,0,11,11,12,14,14,12,13,13,13,13,13,11,15,12,12,14,15,14,4,15,14,12,15,12,14,13,11,14,14,16,11,14,13,14,11,14,14,15,14,14,13,14,15,11,12,12,15,14,13
PB_11,12,8,14,11,14,13,14,14,13,15,13,8,12,11,13,16,14,12,15,13,12,13,8,14,14,13,13,14,11,9,14,15,10,13,8,0,13,10,14,14,14,11,11,13,11,13,11,9,12,14,11,11,12,14,14,11,8,11,8,10,15,14,14,11,14,13,9,12,14,13,13,15,13,14,11,14,9,12,14,13,13,13,11,11,14,13,14,8,11,14,14,14,13,15,14,13,16,14,13,13,13,13,13,12,13,14,13,14,13,15,12,9,15,14,10,14,14,13,13,14,11,13,14,13,14,12,12,14,13,13,13,11,13,11,12,13,14,10,13,13,13,13,14,11,13,12,13,12,12,11,10,11,15,14,12,12,14,14,12,15,13,13,12,15,13,15,14,15,11,10,14,10,12,14,14,13,13,12,13,13,13,13,11,12,8,13,14,13,8,12,8,10,11,11,13,13,13,11,13,14,13,13,13,14,12,11,14,15,13,11,14,15,13,15,12,13,13,13,14,14,16,12,15,13,14,10,14,12,14,13,13,11,13,14,9,10,14,14,15,13
PB_10,12,14,10,11,10,11,12,11,10,12,10,14,12,8,9,12,11,12,12,10,12,11,14,13,10,13,11,10,8,11,9,11,13,10,14,13,0,13,12,11,11,12,11,12,11,13,12,12,12,11,11,11,11,4,11,11,14,10,12,13,11,10,10,11,10,10,13,12,10,9,11,11,11,11,12,10,13,13,10,9,12,9,3,12,12,12,12,12,12,10,10,11,10,11,9,11,16,9,10,10,11,11,7,12,12,9,11,10,9,11,13,12,12,10,13,10,9,11,11,11,5,11,11,11,10,3,9,12,12,12,11,10,9,12,11,11,11,13,9,12,13,11,10,13,12,9,10,9,13,12,14,10,11,9,12,11,11,8,12,11,11,10,13,11,11,11,12,11,12,13,10,11,13,11,10,12,10,9,4,11,3,4,11,10,14,4,12,12,14,10,14,12,12,12,3,12,12,5,11,4,10,11,12,9,11,6,12,11,12,12,10,12,7,12,12,2,9,13,10,10,12,12,11,11,10,13,12,9,9,10,2,13,12,9,13,14,8,10,11,11
PB_1,11,4,11,11,14,12,13,10,12,13,11,4,11,13,12,14,14,9,13,12,11,13,4,14,13,11,12,13,11,10,13,14,2,12,4,10,13,0,11,10,11,10,10,12,10,9,8,9,12,12,11,9,10,11,11,11,4,9,8,13,14,12,12,12,13,10,3,10,12,13,9,13,12,13,12,14,10,10,12,13,11,13,12,14,13,11,12,10,11,14,14,13,12,14,12,12,15,12,12,13,12,11,13,10,9,13,12,14,13,14,13,8,14,13,11,13,12,13,12,13,12,11,13,12,13,11,11,13,13,9,12,10,12,11,10,9,12,11,13,10,9,12,12,13,12,12,12,13,13,8,13,10,14,13,11,11,13,12,9,13,12,12,12,14,12,14,10,13,9,4,13,10,13,12,14,12,11,10,10,12,12,12,10,10,4,12,14,9,4,9,4,9,9,11,13,13,11,12,12,11,11,12,9,13,12,11,13,14,14,5,13,13,11,13,10,13,12,9,13,13,15,9,13,12,12,8,13,13,13,13,13,13,12,13,10,13,12,14,13,13
PB_0,13,12,12,13,9,12,7,6,13,11,12,12,13,13,10,13,8,12,6,10,10,7,12,9,10,11,12,10,9,10,11,9,11,8,12,14,12,11,0,4,9,13,11,12,12,13,13,11,6,13,12,13,11,12,11,11,12,12,11,14,9,7,12,13,10,12,11,13,12,8,11,7,12,12,13,9,12,13,12,8,13,8,12,15,10,9,7,13,12,9,9,10,12,10,11,12,17,10,10,7,12,5,11,12,12,8,12,9,9,9,14,11,10,9,14,10,11,12,12,8,14,12,11,13,13,13,10,10,7,12,13,11,11,12,12,9,9,13,12,11,13,12,12,14,11,11,10,8,14,13,15,11,9,8,13,13,8,11,12,10,12,10,13,9,12,9,5,9,13,11,11,13,14,7,9,10,11,11,12,12,13,13,13,12,12,12,9,12,12,11,12,12,13,12,13,13,7,14,10,12,12,12,12,8,12,11,8,10,9,11,7,7,10,10,11,12,11,13,7,11,12,12,10,12,12,13,8,8,8,11,12,14,11,8,13,15,11,9,10,13
PB,12,12,11,13,9,11,6,7,12,11,11,12,12,13,11,12,8,12,8,11,10,9,12,12,9,11,11,11,9,10,10,9,11,8,12,14,11,10,4,0,10,13,11,12,12,13,13,11,8,12,12,13,11,11,10,11,12,12,11,13,9,9,11,13,9,11,10,12,11,10,11,7,11,9,12,9,12,13,11,10,11,8,10,15,10,9,5,13,12,9,9,10,11,9,10,11,18,9,9,6,9,7,9,12,12,6,11,9,7,9,13,11,10,10,14,12,10,11,11,8,13,12,13,11,12,12,10,12,7,12,11,11,11,12,12,8,9,13,12,12,13,11,11,13,9,10,11,10,13,12,15,11,9,6,11,11,8,9,12,12,11,8,13,9,11,9,6,9,12,11,10,13,13,7,9,10,10,11,11,11,11,12,13,11,12,11,11,12,12,11,12,12,13,12,12,12,6,13,11,11,11,11,12,6,12,10,7,12,9,11,5,7,10,9,12,11,11,13,6,11,13,12,12,11,11,12,7,10,6,10,11,13,9,6,13,15,9,9,10,12
PA_9,12,12,11,13,11,11,9,9,12,12,13,12,12,12,8,12,10,11,10,9,11,8,12,11,10,10,13,11,7,10,10,12,11,9,12,14,11,11,9,10,0,13,10,9,12,12,12,11,9,12,12,13,11,11,12,10,12,12,11,13,11,8,11,12,10,10,11,12,12,8,10,9,11,11,11,11,12,11,12,9,13,9,11,14,11,10,12,13,12,11,11,11,11,11,10,11,16,9,10,10,11,9,8,11,10,11,11,11,11,11,13,11,12,8,14,10,10,11,11,11,13,12,11,13,11,12,8,10,11,11,13,9,9,12,12,12,10,13,11,10,12,11,12,13,11,9,9,9,13,12,15,11,11,11,13,13,11,9,10,10,11,11,11,11,11,11,7,11,13,11,10,13,13,10,11,9,10,12,11,11,12,12,12,12,12,11,11,11,12,12,12,12,13,11,11,12,10,13,9,11,12,11,10,11,12,10,10,11,11,11,11,9,9,11,10,11,10,12,10,11,11,10,10,11,12,13,10,9,11,9,11,13,11,11,13,15,9,11,11,12
PA_8,10,12,11,9,13,12,14,12,11,12,12,12,10,12,13,13,14,9,14,13,12,12,12,14,12,11,9,13,11,9,12,13,10,13,12,11,12,10,13,13,13,0,10,12,7,9,9,8,13,11,5,6,9,11,11,10,12,9,7,12,13,11,10,9,12,10,11,11,10,12,9,14,12,13,11,13,9,9,10,12,10,14,12,11,14,13,12,9,11,13,13,12,12,14,11,12,14,13,12,13,10,13,12,7,9,13,12,13,13,13,12,8,13,12,4,13,11,11,12,14,11,11,12,10,11,10,11,12,14,9,10,10,10,11,10,10,12,10,10,10,9,12,10,12,11,12,13,12,11,10,12,11,13,13,9,8,14,12,9,13,11,12,10,13,12,13,13,14,8,11,13,7,12,13,13,13,11,10,10,12,11,11,7,10,12,11,13,9,12,10,12,6,3,10,12,11,13,11,12,10,9,12,9,13,12,11,14,13,14,12,14,14,11,14,11,12,11,9,14,14,13,9,13,12,10,9,14,12,13,13,12,12,11,13,9,12,12,13,12,12
PA_7,10,11,9,10,11,9,12,11,11,11,10,11,7,10,12,12,13,11,11,10,10,11,11,12,10,7,10,12,8,8,10,11,10,13,11,11,11,10,11,11,10,10,0,7,9,11,10,7,10,10,9,10,9,10,10,6,11,7,8,10,11,10,10,7,10,9,10,7,10,10,10,11,9,11,9,10,9,12,10,10,9,13,11,10,10,11,12,8,8,10,11,10,9,12,10,9,15,12,9,11,9,11,10,10,11,12,9,11,11,11,10,6,11,11,11,11,10,8,9,11,12,8,11,9,9,11,10,12,13,11,9,6,11,8,10,9,10,10,7,11,11,9,10,10,11,9,10,9,9,10,10,5,11,12,9,9,13,11,11,11,10,10,7,11,9,11,10,11,10,11,11,8,10,12,11,12,11,9,10,9,11,11,8,9,11,11,11,11,11,8,11,8,8,3,10,8,12,12,11,10,9,9,11,12,9,10,12,11,13,11,12,11,9,12,11,11,9,11,12,11,13,11,11,9,10,10,12,9,12,10,10,10,11,12,10,10,11,11,11,10
PA_6,11,13,11,13,13,11,13,13,13,13,10,13,11,12,11,12,14,11,13,11,11,12,13,13,11,2,9,14,10,11,12,14,12,14,13,13,12,12,12,12,9,12,7,0,12,10,13,10,11,11,12,12,11,13,11,9,13,11,11,12,13,12,12,10,11,11,12,11,11,12,10,13,11,13,11,13,12,11,11,12,12,13,13,13,13,13,13,11,8,13,13,12,10,14,11,11,17,13,11,13,11,11,12,9,11,14,11,13,12,13,12,11,13,13,13,13,11,11,11,13,14,12,13,11,11,13,11,13,14,11,10,10,9,8,11,11,13,12,11,12,11,11,11,12,11,11,11,11,11,13,12,8,13,14,11,10,13,13,11,13,11,11,5,13,11,13,10,12,13,12,12,12,12,13,13,13,12,12,12,11,12,11,12,10,13,13,13,11,13,12,13,11,11,7,13,11,13,14,12,12,11,11,11,14,12,12,12,13,14,11,14,12,11,14,12,13,12,11,12,13,15,11,13,11,11,12,12,11,14,10,13,12,11,14,12,12,13,13,13,9
PA_5,11,12,9,11,13,12,13,12,12,12,11,12,9,12,11,13,13,11,12,11,11,12,12,13,12,11,10,13,11,6,12,12,10,11,12,11,11,10,12,12,12,7,9,12,0,11,10,5,12,11,9,9,9,11,10,10,12,9,5,12,13,12,11,9,12,11,11,11,9,12,10,13,12,13,9,13,6,11,9,12,9,12,12,11,12,12,11,12,10,13,13,12,12,12,11,12,14,12,9,12,9,12,12,10,11,13,12,13,12,13,10,5,13,12,9,13,11,10,12,12,12,10,11,8,12,10,9,11,12,11,8,9,10,10,9,11,13,11,9,11,11,12,9,10,11,12,12,12,10,9,11,9,13,13,9,7,12,12,11,13,11,11,11,13,12,13,12,12,11,11,12,9,11,13,13,13,10,8,10,12,12,11,9,9,12,11,13,11,12,9,12,3,8,9,10,10,13,12,11,8,10,12,11,13,9,11,13,13,13,10,13,13,11,12,10,11,11,11,12,12,13,11,13,12,9,11,13,12,13,12,11,10,11,13,11,11,12,13,12,11
PA_4,11,11,11,12,14,11,13,13,11,13,11,11,11,13,11,13,14,3,13,12,12,12,11,13,11,9,8,13,12,12,11,12,9,13,11,13,13,9,13,13,12,9,11,10,11,0,10,11,13,11,9,7,10,11,12,11,11,10,11,13,14,12,10,9,11,11,11,10,11,12,2,14,11,14,12,14,11,4,11,12,11,14,13,12,13,14,12,11,10,14,14,13,11,12,10,11,17,13,12,13,11,12,13,8,3,14,11,14,13,14,12,10,14,13,10,13,10,11,11,14,13,9,14,10,12,12,10,13,14,1,9,11,10,10,11,10,14,9,11,10,1,11,11,13,9,13,13,13,10,11,13,12,14,14,10,11,14,13,3,13,11,13,9,14,11,14,13,13,11,11,12,11,13,14,14,14,10,10,12,11,13,11,10,10,11,12,13,1,11,9,11,11,8,12,13,11,14,13,12,12,9,11,3,14,12,12,13,13,14,10,14,14,11,13,12,13,11,1,14,13,15,3,13,11,11,10,13,13,14,12,13,13,9,14,10,13,13,14,13,12
PA_3,9,10,12,8,13,11,14,12,10,14,12,10,11,11,13,13,14,10,13,12,13,12,10,14,12,13,10,13,10,10,13,10,9,14,10,11,12,8,13,13,12,9,10,13,10,10,0,10,13,12,10,8,9,12,12,10,10,10,9,11,13,11,11,9,12,11,9,9,11,13,10,14,11,14,11,13,11,10,11,13,11,14,12,10,12,13,13,9,10,13,13,14,11,12,12,11,17,12,11,13,12,12,13,9,10,13,11,13,13,13,11,10,13,12,10,13,12,10,11,12,12,8,14,10,13,11,12,13,14,10,10,9,11,10,10,10,13,8,9,10,10,11,11,11,12,13,12,13,11,4,10,10,13,13,9,11,14,12,10,13,11,12,12,13,11,13,13,12,6,9,13,4,11,13,13,13,12,11,11,11,12,12,4,11,10,12,14,10,10,11,10,9,9,10,12,8,13,12,13,12,10,11,10,13,11,10,14,14,14,10,13,14,10,13,12,12,11,10,13,12,14,10,13,11,11,4,14,13,13,13,12,11,12,13,5,10,12,13,13,12
PA_2,11,11,10,11,13,12,11,12,12,12,10,11,11,12,11,13,13,10,11,11,10,12,11,12,12,9,9,13,9,3,12,12,9,11,11,9,12,9,11,11,11,8,7,10,5,11,10,0,11,11,8,10,9,11,10,8,11,9,2,10,13,12,11,9,12,11,10,11,10,12,10,12,12,13,11,13,4,11,10,12,9,12,12,12,10,11,11,11,9,13,13,12,12,12,11,12,14,12,10,11,10,11,12,10,11,13,12,13,12,13,12,1,13,12,8,13,11,10,12,10,12,10,11,10,12,11,10,12,12,11,10,9,11,9,8,11,12,10,10,11,11,12,10,11,10,12,11,12,10,10,11,8,13,13,10,9,12,12,11,13,10,11,10,13,12,13,11,11,11,10,12,10,12,12,13,12,10,9,10,12,12,10,10,8,11,11,13,11,11,9,11,5,8,8,12,10,12,12,9,10,10,12,11,13,10,11,11,13,12,10,13,12,10,12,10,12,11,11,11,10,14,11,13,12,10,11,11,12,13,12,12,11,10,13,10,11,12,13,12,10
